5;39696;39697;39698;0;39703;39697
3;39679;39692;39695;0;39703;39692
4;39675;39689;39691;0;39703;39689
4;39676;39689;39691;0;39703;39689
1;39679;39695;39699;0;39703;39695
1;39686;39698;39699;0;39703;39698
2;39679;39692;39699;39701;39703;39692
4;39679;39692;39695;0;39703;39692
5;39695;39696;39697;0;39703;39696
1;39687;39699;39701;0;39703;39699
2;39679;39694;39699;39701;39703;39694
4;39681;39696;39698;0;39703;39696
2;39685;39698;39699;39701;39703;39698
4;39688;39701;39703;0;39704;39701
4;39689;39701;39703;0;39704;39701
4;39688;39701;39703;0;39704;39701
3;39689;39701;39703;0;39704;39701
4;39689;39701;39703;0;39704;39701
3;39689;39701;39703;0;39704;39701
4;39688;39701;39703;0;39704;39701
2;39683;39697;39699;39701;39704;39697
1;39688;39700;39701;0;39704;39700
2;39683;39696;39699;39701;39704;39696
2;39679;39692;39699;39701;39704;39692
2;39683;39697;39699;39701;39704;39697
5;39696;39697;39698;0;39704;39697
2;39679;39694;39699;39701;39704;39694
2;39682;39696;39699;39701;39704;39696
2;39686;39698;39699;39701;39704;39698
2;39682;39696;39699;39701;39704;39696
2;39685;39697;39699;39701;39704;39697
2;39680;39695;39699;39701;39704;39695
4;39679;39693;39695;0;39704;39693
4;39680;39695;39697;0;39704;39695
2;39684;39697;39699;39701;39704;39697
4;39690;39702;39704;0;39705;39702
4;39690;39702;39704;0;39705;39702
4;39679;39695;39697;0;39705;39695
5;39696;39697;39698;0;39705;39697
2;39684;39697;39699;39701;39705;39697
3;39696;39703;39705;0;39706;1
3;39683;39696;39698;0;39706;39696
5;39700;39701;39702;0;39706;39701
4;39684;39697;39700;0;39706;39697
1;39689;39702;39706;0;39707;39702
1;39689;39702;39706;0;39707;39702
1;39690;39702;39706;0;39707;39702
5;39700;39701;39702;0;39707;39701
5;39699;39700;39701;0;39707;39700
4;39679;39692;39695;0;39707;39692
3;39684;39697;39700;0;39708;39697
4;39679;39694;39696;0;39708;39694
3;39683;39696;39698;0;39708;39696
3;39685;39697;39700;0;39708;39697
4;39680;39695;39697;0;39708;39695
3;39684;39697;39700;0;39708;39697
4;39680;39695;39697;0;39708;39695
2;39688;39701;39706;39708;39709;39701
2;39688;39701;39706;39708;39709;39701
2;39689;39702;39706;39708;39709;39702
2;39689;39702;39706;39708;39709;39702
2;39688;39701;39706;39708;39709;39701
2;39687;39700;39706;39708;39709;39700
2;39689;39701;39706;39708;39709;39701
5;39697;39698;39699;0;39709;39698
4;39679;39694;39696;0;39709;39694
5;39703;39704;39705;0;39709;1
4;39680;39695;39697;0;39709;39695
3;39688;39700;39702;0;39709;39700
4;39686;39698;39700;0;39709;39698
4;39684;39697;39700;0;39709;39697
4;39685;39697;39700;0;39709;39697
3;39697;39703;39705;0;39709;-1
4;39683;39697;39700;0;39710;39697
4;39688;39700;39702;0;39710;39700
4;39686;39698;39700;0;39710;39698
3;39690;39703;39705;0;39710;13
4;39685;39697;39700;0;39710;39697
4;39684;39697;39700;0;39711;39697
2;39690;39705;39707;39709;39711;15
